raw_character_text,spoken_words
Moe Szyslak,"Ivana Tinkle. Just a sec. Ivana Tinkle. Ivana Tinkle. All right, everybody put down your glasses. Ivana Tinkle."
Moe Szyslak,"Ah, they shouldn't have been there in the first place. But Homer is a real hero."
Moe Szyslak,"Well, well look who it is. Mr. ""I don't need alcohol to enjoy life."" We hate him, right fellas?"
Moe Szyslak,It does. We had thirty thousand here last night. Now play. The audience is gettin' restless.
Moe Szyslak,"What?... What am I lookin' at? I don't see nothin'. I'm gonna stop looking soon... What... what, is that it?"
Moe Szyslak,"Oyster shells, hand painted to resemble Lucille Ball! You'll love Oyster Lucy! Oh Mr. Mooney, I just gotta meet Bob Cummings. Vivvv!!!"
Moe Szyslak,"You know, you really irritate me, Skinner. What with your store-bought haircut and excellent posture."
Moe Szyslak,"If this gets out, the next words you say will be muffled by your own butt."
Moe Szyslak,Are you talkin' to me? There's no one else here. You must be talkin' to me.
Moe Szyslak,"Uh, Freddy Quimby was with me the entire night in question. We were collecting canned goods for the starving people in, ah... you know, one of them loser countries."
Moe Szyslak,"Come to papa... Wait a minute! You have a straight flush, Homer. Go! You do this every time. You... oh, you, ah, ... I'm choking on my own rage here."
Moe Szyslak,"All right, here's the four one one, folks. Say some gangsta is dissin' your fly girl. You just give him one of these."
Moe Szyslak,"Hey, Homer, why don't you just nibble her elbow. That always melts her butter, right?"
Moe Szyslak,"Oh, hi-hi, Marge. I heard you and Homer broke up so, um, I'm declaring my intentions to move in on his territory. Here, I uh, brung you some posies."
Moe Szyslak,"Geez, I come here, I get dressed up all nice-like, put my heart on the line and I make a fool of myself Oh boy, I'm gonna start bawling, here."
Moe Szyslak,"I uh, well... I never touched her, Homer. Homer, I swear, I never touched her."
Moe Szyslak,"I didn't ask her for no water. She's lying, Homer, she's lyin'. She told me you were dead. That's the only reason I... I didn't do nothin'!"
Moe Szyslak,"Lemme check. Phone call for Al, Al Caholic. / Uh, Jacques Strap! / Is I Pee Freely here? / Hey, is there a Butts here? Seymour Butts? Uh, Homer Sexual / My Crotch / A Amanda Huggenkiss? / A Huge Ass / ""Ivanna Tinkle"" / I'm a stupid moron with an ugly face and a big butt, and my butt smells, and I like to kiss my own butt."
Moe Szyslak,"Aw, geez... really ya think so? All right, give 'em back. Come on, everybody give 'em back."
Moe Szyslak,"Oh, I'm happy. I'm very happy. La, la, la, la, la, la, la. See? Now waste your family and I'll give you a beer!"
Moe Szyslak,"Homer, it's Moe. Ah, look, some of the ghouls and I are a little concerned the project isn't moving forward."
Moe Szyslak,"It's not so bad, Homer. They go in through your nose. And they let you keep the piece of brain they cut out."
Moe Szyslak,"What? What? A bartender can't come by and say ""hi"" to his best customer? Hey, hey there, Midge! Oh gee I like what you done to your hair."
Moe Szyslak,"And how are the little kids doin'? I mean really how are they doin'. Any disabling injuries? Something, say, that the gambling community might not yet know about? Come here, let me see those knees."
Moe Szyslak,But Blanche! You gotta help me out here. Please! I'm sixty-four grand in the hole. They're gonna take my thumbs!
Moe Szyslak,"How can you judge this man, without talking to the people who know him best. We got the real dirt on Homer Simpson, and the biddin' starts at ten G's."
Moe Szyslak,"Ow! Ow! Ooh! Ow! A snake in the cash register. Great prank, fellas, great. Oh, I'm gonna be sick tonight."
Moe Szyslak,"I'm burnin' up, here. Ooh, ooh, taking advantage of my alcohol soaked clothes. It's funny and it makes you think."
Moe Szyslak,"Sorry, Homer. You should have thought of that before you gave me the old sugar-me-do. I'm taking your caricature down from Mt. Lushmore."
Moe Szyslak,Of this chapter. There are chapters all over the world. And it has been foretold that someday a Chosen One will...
Moe Szyslak,"And it will need somebody to dispense drinks, i.e. me. Um, and someone will have to run the power. Uh, you can do that, Homer."
Moe Szyslak,"Hey, I got an idea. We can play a game to pass the time. Uh, I'll make the sound of a barnyard animal, and uh, you all try to guess what it is."
Moe Szyslak,"Sure, Homer, I can loan you all the money you need. However since you have no collateral, I'm gonna have to break your legs in advance."
Moe Szyslak,"Hey, hey! Are you a loan shark? Do you understand how finance works? Now let's do this thing."
Moe Szyslak,MONEY GETS YOU ONE MORE ROUND/ DRINK IT DOWN/ YA STUPID CLOWN/ MONEY GETS YOU ONE MORE ROUND/ THEN YOU'RE OUT ON YOUR ASS... WHOA!
Moe Szyslak,"Oh, an English boy, eh? You know we saved your ass in World War Two."
Moe Szyslak,"Okay, when I call your name, ah, you say present, or here. No, say present. Anita Bath?"
Moe Szyslak,"Hey, hey, what are you laughin' at? What? Oh, oh, I get it. I get it. It's my big ears, isn't it, kids? Isn't it? Well children, I can't help that!"
Moe Szyslak,"That guy sure likes his fresh air. None of that for me. Oh, yeah! Yeah!"
Moe Szyslak,"Yo-your house?! Your house? Gee, it's so glamorously decorated I thought I was in Vegas. Hey you guys lied to me! You said it was Vegas!"
Moe Szyslak,"Hey! If you guys are getting loaded off them fumes, I'm gonna have to charge ya."
Moe Szyslak,"Hey, Homer, us hotheads here is gonna go tear down Burns' sun blockin' machine. You wanna come with?"
Moe Szyslak,"Good, cause I got a hot date tonight. A date. Dinner with friends. Dinner alone. Watching TV alone. All right. I'm gonna sit at home and ogle the ladies in the Victoria's Secret catalog. Sears catalog."
Moe Szyslak,"No. I was the tough kid. Smelly. My shtick was looking into an exhaust pipe and gettin' a faceful of soot. Heh, nobody could do that better than me. Of course, it was kinda hard to think of reasons for me to look in that exhaust pipe every time, but you know, we had good writers. William Faulkner could write an exhaust pipe gag that would really make you think."
Moe Szyslak,"You stole my bit! You... That's my bit ya... Ya... ooh, ooh, you stole my bit!"
Moe Szyslak,"Oh, it is. It is. Just, uh, pull them stools up to the pool table."
Moe Szyslak,Everybody is goin' to family restaurants these days. Seems nobody wants to hang out in a dank pit no more.
Moe Szyslak,"Yeah. Family restaurants. That's where the big bucks are. I could turn this joint into a place where you wouldn't be ashamed to bring your family, huh?"
Moe Szyslak,I got it used from the Navy. You can flash-fry a buffalo in forty seconds.
Moe Szyslak,"If you like good food, good fun, and a whole lotta crazy crap on the walls, then come on down to ""Uncle Moe's Family Feedbag."""
Moe Szyslak,"Now that's ""Moe"" like it. So bring the whole family - mom, dad, kids. Uh, no old people. They're not covered by our insurance. It's fun! And remember our guarantee: If I'm not smiling when your check comes, your meal's on me, Uncle Moe."
Moe Szyslak,Here ya go! Here I am! Uncle Moe! Thank ya Ma'am! This'll be a treat! Uncle Moe! Here I am! While you eat!
Moe Szyslak,"Nah, nah, nah. Let me level with you, Marge. That's just our name for bottom-feeding suction eel. You don't want that."
Moe Szyslak,Why don't you try Moe's Hobo Chicken Chili? I start with the best part -- the neck. And then I add secret hobo spices.
Moe Szyslak,"I'm sorry, kid. Sorry. I'm not used to the laughter of children. It cuts through me like a dentist's drill. But no, no, that was funny, that was funny, takin' away my dignity like that. Ha ha ha."
Moe Szyslak,Here ya go! Here I am! Uncle Moe! Thank ya Ma'am! This'll be a treat! Uncle Moe! Here I am! While you eat!
Moe Szyslak,"Aw, your ""teef"" hurt, huh? Your ""teef"" hurt? Well, that's too freakin' bad! You hear me? I'll tell you where you can put your freakin' ""sodie, too!"""
Moe Szyslak,"Aw, come on folks! Wait! Please, come back! Please! I got a new offer! Whenever Uncle Moe threatens you, you get a free steak... fish."
Moe Szyslak,"Man, you go through life, you try to be nice to people, you struggle to resist the urge to punch 'em in the face, and for what?! For some pimply little puke to treat you like dirt unless you're on a ""team!"" Well I'm better than dirt... Well, most kinds of dirt... I mean, not that fancy store-bought dirt. That stuff's loaded with nutrients. I... I can't compete with that stuff."
Moe Szyslak,Yayyy! / Way to go! / The Pin Pals did it! / We won! / Team work! /
Moe Szyslak,"Ah, they think they're so high and mighty, just 'cause they never got caught drivin' without pants."
Moe Szyslak,"COME ON HOMER, COME ON HOMER / PRETEND THIS IS BASEBALL / AND HIT US A HOMER!"
Moe Szyslak,"Yeah. Call this an unfair generalization if you must, but old people are no good at everything."
Moe Szyslak,"Don't worry about nothin', Homer. I have a feeling that Mr. Burns is gonna have a little accident that might keep him from bowling with us tonight. Heh, heh, heh..."
Moe Szyslak,"Aw, he's gonna ruin everything. All right, that's it Homer! Either Burns goes or Moe goes."
Moe Szyslak,"You know what? We don't need him or his trophy. We got each other, huh?"
Moe Szyslak,"Aw, the little cutie wants to do something cute... Shut up, ya bums, shut up! Go ahead, angel."
Moe Szyslak,"Good God. Homer, y'know I support most any prejudice you can name, but your hero-phobia sickens me. You and your daughter ain't welcome here no more. Barney, show 'em the exit."
Moe Szyslak,"""Evil blood-thirsty pirate""... Hello, Town Jubilation Committee? I got something that's going to make you a lot less jubilant."
Moe Szyslak,"Oh, so you're looking for a Mr. Smithers, eh? First name, Waylon, is it? Listen to me, you... when I catch you, I'm going to pull out your eyes and shove 'em up your pants so you can watch me kick the crap out of you. Okay? Then I'm going to use your tongue to paint my boat."
Moe Szyslak,"Uh, yeah, I need someone to help me with the midnight beer delivery. Your job is to distract Barney until it's safely off the truck."
Moe Szyslak,"Say, ah, Barn. Remember when I said I'd have to send away to NASA to calculate your bar tab?"
Moe Szyslak,"You owe me... 70 billion dollars. No, wait, wait, wait... Oh, that's uh, for the Voyager Space Craft. Your tab's 14 billion dollars."
Moe Szyslak,"Come back here, you stinkin' -- Hey, I wonder how much air is in here."
Moe Szyslak,"Immiggants?! I knew it was them! Even when it was the bears, I knew it was them!"
Moe Szyslak,"Ya know what really aggravazes me, is them immiggants. They want all the benefits of livin' in Springfield, but they ain't even bothered to learn themselves the language."
Moe Szyslak,"Fun's over, fellas. If you're gonna beat up my friend in my bar, there's a two-drink minimum."
Moe Szyslak,"Jeez, Homer, I never seen a guy stand up to that kinda punishment -- I mean, you took a three-man poundin' and didn't ever fall down."
Moe Szyslak,"There ya go! That's the spirit! Homer, I seen prizefighters couldn't take a punch half as good as you! Y'know, boxing might be right up your alley!"
Moe Szyslak,"Aw, please, it's the good life, Homer. Some of these boxers, they eat steak and lobster and salad bar all in a single meal!"
Moe Szyslak,"Now, Homer, if I'm gonna manage your boxing career, I wantcha to have complete faith in me. C'mere, lemme show ya somethin'..."
Moe Szyslak,"Yeah, well, when I realized we hadn't had no ladies in here since 1979, I turned it into an office."
Moe Szyslak,"Yep. They called me ""Kid Gorgeous."" Later on, it was ""Kid Presentable."" Then ""Kid Gruesome."" And finally, ""Kid Moe."""
Moe Szyslak,"Aw, that -- that's my old spit bucket. Yeah, I been meanin' to empty that out."
Moe Szyslak,"Yeah, he was my manager. Back when I was gorgeous, everybody wanted a piece of me. But somehow I just never made it to the big time."
Moe Szyslak,"'Cause I got knocked out forty times in a row. That, plus politics. You know, it's all politics..."
Moe Szyslak,"Okay, punching isn't your thing. But that's okay... you're not that kind of fighter. What you're gonna do is stand there while your opponent gets exhausted from overpunching."
Moe Szyslak,"That's right. And if the ref's not looking, you can kick him a coupla times."
Moe Szyslak,"Uh, no. Not yet. He still lives at the train yard. But he's a hungry young fighter. In fact, he's actually fighting for a sandwich."
Moe Szyslak,"Homer, I want you to have my lucky mitts. I hope you do better with 'em than I did."
Moe Szyslak,"Aw, that's the barbed wire. Heh. We, uh, we called that ""The Stinger."" They... they don't let you use that no more."
Moe Szyslak,"Now, no matter how much he hits you, you don't do nothin', okay? You don't wanna get drawn into a boxing match here."
Moe Szyslak,"Lucius! Hey, what's a glitterati like you doin' in my dump? I--I thought you were managing the Champ."
Moe Szyslak,"I gotta be honest with ya, Homer. I didn't bring you up here to show you my new tar-paper."
Moe Szyslak,Great. All you gotta do is fight Drederick Tatum. It's this Saturday. Here's your parking pass.
Moe Szyslak,"Hey, hey, hey! I'm not the villain here, okay? If Homer gets killed in the ring tonight, it'll be because of your negative attitude! There, I said it."
Moe Szyslak,"All right, Homer, I'm not going to lie to you: there's a good chance you can beat Tatum. But you gotta visualize how you're going to win, okay?"
Moe Szyslak,"Ah, let 'em be mad. The only thing that matters to me is, you're safe."
Moe Szyslak,"Well, what do dreams matter, Marge? I was able to stick up for a pal."
Moe Szyslak,"Okay, but the last guy who charged a drink to Burns turned up in a landfill."
Moe Szyslak,"Hey, hey, I may be ugly and hate-filled, but I, uh... what was the third thing you said?"
Moe Szyslak,"Ah, ha ha, you got me, didn't ya? All right, here you go -- ""Red Tick Beer."""
Moe Szyslak,"Just a second, Homer, you gotta take a breathalyzer test before I let you drive home."
Moe Szyslak,"Can somebody tell me what the hell is goin' on? Midge, help me out here."
Moe Szyslak,"Oh, it ain't no mystery -- whole modern world got a swishifyin' effect on kids today. And their MTV's and their diet sodas ain't gonna set 'em straight neither. You gotta do it yourself, Homer. And you gotta do it fast."
Moe Szyslak,"Well, lessee now... uh, time was, you'd send a boy off to war. Shootin' a man'd fix him right up. But there's not even any wars no more thank you very much Warren Christopher!"
Moe Szyslak,"Hey, he's right, Homer. After the boy bags a deer, all the diet sodas in the world won't turn him back. Then you just sit back and watch the grandkids roll in!"
Moe Szyslak,"Remember, guys, the truck only holds six carcasses, so don't shoot nothin' but trophy bucks, huh?"
Moe Szyslak,"C'mon, don't take it so hard, Homer. You still got that other kid... uh, Lisa. Let's take her out huntin' tomorrow, make her into a man."
Moe Szyslak,"Yeah, yeah, we'll never live it down. Oh, boy, it looks like it's suicide again for me."
Moe Szyslak,"Yeah, all right, listen up! This is the busiest drinkin' day of the year. Where are the designated drivers?"
Moe Szyslak,"A raid?! Curly?! Um, all right, but, uh, I don't know what you... expect to find in a simple, uh, neighborhood...pet shop."
Moe Szyslak,"Homer! My customers are soberin' up, and they ain't gonna stay for the ambiance! You gotta get me more beer!"
Moe Szyslak,"Look, find it, buy it, make it, I don't care. Just get me some booze, and fast!"
Moe Szyslak,"Yeah, well listen, lady. I've got so many problems, I.... I don't even know where to begin here."
Moe Szyslak,"Ah, it's a weird world, Homer. As hard as it is to believe, some people don't care for me, neither."
Moe Szyslak,"No, it's true. I've got their names written down right here, in what I call my, uh, ""enemies list""."
Moe Szyslak,"Well, why don't you invite him over to dinner. Turn him from an enemy into a friend. Then when he's not expecting it, bam! The old fork in the eye."
Moe Szyslak,"Hey, I don't need no advice from no pinball machine. I'll have you know I wrote the book on love."
Moe Szyslak,"""Go near Moe."" I'd say that's a pretty strong endorsement. So, how about you and me go out sometime? You know, out back."
Moe Szyslak,"Sorry, Grampa, but I gotta stash you in the bathroom so Betty won't get wise to us."
Moe Szyslak,"You know what's great about you, Betty, is you're letting your looks go gracefully. You're not all hung up on looking ""attractive"" and ""desirable"". It's just so rare and refreshing."
Moe Szyslak,"Myself? Oh, geez. Um, I gotta go to the can again. I got the runs."
Moe Szyslak,"Um, ah, oh, g... I might as well come clean with ya. I ain't too good at talking to women, and... and I really wanted to do ya, so I brought along the love tester to help me. As you may have guessed, it's inhabited by the ghost of my friend's dead father."
Moe Szyslak,"Yeah, all right. Listen up, guys. The Springfield Police have told me that 91 per cent of all traffic accidents are caused by you six guys."
Moe Szyslak,"Yeah, I know, I know. But the bad news is we gotta start having designated drivers."
Moe Szyslak,Everybody reach in and draw a pickled egg. Whoever gets the black egg stays sober tonight.
Moe Szyslak,"Yeah so, last night I was closing up the bar, when some young punk comes in and tries to stick me up."
Moe Szyslak,"Well, it coulda been a real ugly situation, but I managed to shoot him in the spine."
Moe Szyslak,"And that's how, with a few minor adjustments, you can turn a regular gun into five guns."
Moe Szyslak,"Ah, sorry Homer, I've been planning this vacation for years. I'm finally gonna see Easter Island."
Moe Szyslak,"Oh, no? Well if you're so sure what it ain't, how 'bout tellin' us what it am?"
Moe Szyslak,"Geez, this hot-rod is souped up six ways from Sunday. Never had you figured for a gear-head, Homer."
Moe Szyslak,What? No. Why? What? Why? What have you heard? Are you implyin' I'm in some sort of financial trouble?
Moe Szyslak,"Sounds like you're having a rough Christmas, Homer. You know what I blame this on the breakdown of? Society."
Moe Szyslak,"Hey, listen up, everybody! The Simpsons are the best friends I ever had. So I'm givin' them the tip jar from the bar!"
Moe Szyslak,"Well, we hated being mad at ya, Homer, so we decided to make things right."
Moe Szyslak,"Hey, I'll give you something to cry about, ya loser! You can't catch a football?! Let's see if you can catch a rock!"
Moe Szyslak,"Dammit, it fell apart like everything else I've ever believed in. Oh, I guess it's back to good old fashioned voodoo."
Moe Szyslak,"Hi. How you folks doin'? I'm Moe. Or as the ladies like to call me, ""Hey you, behind the bushes."" Uh, is this thing on?"
Moe Szyslak,"...the last angry clown, the man who spews truth from every orifice, ladies and gentlemen... Krusty!"
Moe Szyslak,"Yeah. Big deal. You got a wife. I got a rash. Who cares? Ech, I'm sorry, Homer. It's just, it's been four years since my last date with a whatchacallit, uh, woman."
Moe Szyslak,"Ah, she got homesick for her old life, diving for tourist pennies in a Micronesian swamp."
Moe Szyslak,"Yeah, I don't blame her. No girl wants to end up with a Joe Puke-pail like me."
Moe Szyslak,"Yeah, well, uh, how come I ain't fendin' off movie starlets with a pointy stick?"
Moe Szyslak,"Ah, I don't know, Homer. Women can smell panic. And, uh, right now, I gotta be reekin' of it."
Moe Szyslak,"All right, come on, what's the catch? A gorgeous woman don't just hand ya a free daffydil."
Moe Szyslak,"Yeah, well, the part that's showin'. I guess you could have a lot of weird scars, or a fake ass, or somethin'."
Moe Szyslak,"Well... no... no... well... no... not a... lot... I... Gee, I'm sorry. I used to box you know, my brain's... Well, it's in and out."
Moe Szyslak,"Yeah, I... look, I don't suppose... you'd never want to... uh... I dunno... get together sometime?"
Moe Szyslak,"Ah, what was I thinkin'? A beautiful girl like you and a gargoyle like me. I... I-I'm sorry."
Moe Szyslak,"Really? Hot damn! All right. Don't eat nothin' for the next three days, 'cause I'm takin' you out for a steak the size of a toilet seat!"
Moe Szyslak,"Hey! Hey! Sabu! Ah, I need another magnum of your best champagne, here, uh? And bring us the finest food you got, stuffed with the second finest."
Moe Szyslak,"Yeahhh, well, I just get so tired of idiots shootin' their mouths off, laughin' and clappin'. Makes you wanna start pokin' eyes out and slashin' guts and kickin' throats..."
Moe Szyslak,"Uh, yeah, park the dessert cart under this beautiful lady's nose. And charge it all to my Players Club card."
Moe Szyslak,"Yeah, I wanna send her two dozen roses. And I wanna put something nice on the card, like, um, ""Renee, my treasure..."""
Moe Szyslak,"Shut up, or I'll ram a stool down your throat! Ah, nah, nah, no, I don't want that on the card... Well, lemme hear how it sounds... Nah, nah, take it out. Take it out. And charge it to my Players Club card... Maxed out?"
Moe Szyslak,"Look, I really need these flowers, okay? I got a real tenuous hold on my girlfriend here... Hello? Hello?"
Moe Szyslak,"Well, that's it. It's all over. Renee ain't gonna wanna hang around with no Joe Pinchpenny."
Moe Szyslak,"Hmmm... I need cash, and lots of it. Um, all right, everybody, I'm calling in your bar tabs."
Moe Szyslak,"Nah, my car ain't worth nothin'. But it is insured... For five grand... Homer, I need your help. You gotta steal this car and wreck it for me."
Moe Szyslak,"C'mon, Homer! I'm one of your dearest friends! When everybody said you were too drunk to drive that time, who gave you your keys?"
Moe Szyslak,"Okay, here's the plan. This model car represents my car, huh? And this olive is you. Now..."
Moe Szyslak,"Hey! Hey! Aw, that's great. Now the car's gonna have to represent you, and, uh, this little toy man will represent the car."
Moe Szyslak,"Listen up, here. Tomorrow night at eight, you go down to the waterfront and you ""steal"" my car."
Moe Szyslak,That's the beauty part. Every cop in town's gonna be on the Police Department's Moonlight Charity Cruise. And I'm gonna be right there with 'em.
Moe Szyslak,"Righ-- No, no. Wrong. Listen. While I'm on the boat with the perfect alibi, you steal my car, and park it on the railroad tracks. Then when the 10:15 train comes along..."
Moe Szyslak,WHAM! The insurance company pays off five thousand clams. I keep showing Renee the sweet life.
Moe Szyslak,"Ah, 'scuse me there, officer? You see my car there? With the rubber hippie daisy? Space 7A?"
Moe Szyslak,The train! D'you hear that? That's the train! Ha! Isn't that the most beautiful sound you ever heard?
Moe Szyslak,"Hey! Hey, what's it doin' there? It was supposed to be on the railroad tracks -- no, I mean... the parking lot."
Moe Szyslak,"Yeah, I wish I could, Homer, but if I change my story, they're gonna throw me in here."
Moe Szyslak,"Ohh, cripes, the puppy-dog look. All right, all right. I'll use the money to bail you out."
Moe Szyslak,"Naw, naw, naw, we're goin' for the real thing. First class all the way. Come on, we can leave tonight."
Moe Szyslak,... So like a coward I let Homer take the rap for the whole scam. And now the only way to clear him is to turn myself in.
Moe Szyslak,"Yeah, that's true. That's true, baby. Hmf, it'll be hell being locked away from ya, but I guess I gotta take my medicine. Unless... Unless, I send a letter to the police clearing Homer..."
Moe Szyslak,"We-we-we switch clothes with them, leave 'em in the bar. Then we pour some brandy around. Like so..."
Moe Szyslak,"Well, I'm not gonna let anything happen to my two best customers. I'm joining too."
Moe Szyslak,"So Lenny, let's say you pull a thorn out of the Pope's butt and he grants ya one wish. What'll it be?"
Moe Szyslak,"Eh, gee, I was gonna say a night with Joey Heatherton. But an ironed shirt... Damn! That's tempting."
Moe Szyslak,"Ah, gee, you're kinda all over the place there, Homer. You need to focus here. You gotta think hard and come up with a slogan that appeals to all the lazy slobs out there."
Moe Szyslak,"Ooh. Yeah. And then what happened? Omit no detail, no matter how small or filthy."
Moe Szyslak,"Okay, I think we've been polite long enough here. Lenny, what happened with the dame and the bathing suit?"
Moe Szyslak,"Oh, God. You smokers disgust me. Hey 'Pu, you got a breakfast cereal for people with syphilis?"
Moe Szyslak,"So, I round the corner and head down the ointment aisle, when who should I spot? None other than Kent Brockman!"
Moe Szyslak,"Nah. Nah. Just, uh, hop that fence, sneak up and, uh, peek in the window there."
Moe Szyslak,"Well, I gotta hand it to you, Homer. You're really brave to go through with this operation."
Moe Szyslak,"Nah, nah, no. Makin' polenta, that's a procedure. You're talkin' about deadly, life-threatening surgery, here."
Moe Szyslak,"Listen, I'm just gonna get right to the point, here. Can I have your buttocks? I mean, if you die. They look pretty comfortable."
Moe Szyslak,"Hey Homer, I told you not to come 'round here no more till you paid your tab. Or at least cleaned up that mess you made in the bathroom. Now y--"
Moe Szyslak,"Shove off, puke-holes. Get out of there! These stools are reserved for the mayor and his cronies."
Moe Szyslak,"Bye weeks. Bronco Nagurski didn't get no bye weeks. And now he's dead. Well, maybe they're a good thing."
Moe Szyslak,"Oh, absolutely. My favorite team's in it: the Atlanta Falcons . Yeah, ever since I was a boy, I've always loved the Atlanta Falcons ."
Moe Szyslak,"Hey Homer, we been runnin' around cheerin' for an hour. Where the hell's the game?"
Moe Szyslak,"Ah man, he's makin' us look like a bunch of cheapskates. Whoa whoa. My rope came loose."
Moe Szyslak,"Ah, remember, Midge. You feel the need to rage, you call me, right? I won't even get sexual or nothin'. Unless that's what you want. That, that's not what you want, right?"
Moe Szyslak,"Groundskeeper Willie, you know the guy in the skirt? He bought himself a mail-order bride, but he was too cheap to pay the C.O.D., right? So she's still in a crate down at the post office! Wanna go look-see?"
Moe Szyslak,"Yeah, yeah, I been meanin' to wash that, but, uh, you know, it's been such a century..."
Moe Szyslak,"But it's me, Moe, wearing a sailor suit. Moe -- with a lolly. It's so out of character. Ain't that worth nothin'?"
Moe Szyslak,"""You have been chosen to join the Justice Squadron! 8 a.m. Monday at the Municipal Fortress of Vengeance."" Oh, I am so there!"
Moe Szyslak,"Yeah, thanks. It's just past the end of the bar, next to the heavyset guy."
Moe Szyslak,"All right, take it easy. Take it easy. I'm just saying you ain't no, uh, Tommy Tune."
Moe Szyslak,"Hey, a duel? I, ah-- Isn't that a little extreme? Here, here, have a free beer."
Moe Szyslak,"Geez, Homer. I never seen you so depressed. As your life partner, I'm very worried."
Moe Szyslak,I'm a little worried. He usually stops in for an eye-opener on the way to work.
Moe Szyslak,"Wow. Anyway, you don't think he could be at another bar, do you? Because I couldn't take that! I... uh... I-I just couldn't! I..."
Moe Szyslak,"Now, you know I can't sell you no beer till two P.M., on accounta it's Sunday."
Moe Szyslak,Sorry. Two P.M. Or you can steal a boat and sail out to International Waters.
Moe Szyslak,"No, the ocean. Once you get twelve miles out, there's no laws at all. That's where they held the Tyson/Secretariat fight."
Moe Szyslak,"No, I really mean it, though. I mean if it was you that died, I would have been on her so fast..."
Moe Szyslak,"Yeah, that's enough there, 'Pu. Look, Ned, I know we ain't hung out much, what with your insane fear of drinking and me being banned from the church and all, but ah... but that Maude, she was really something."
Moe Szyslak,"That's good, no. Let it out. That's it. Let it out. Send me to Maude. That's it. Oh, here I come, baby. Oh, yeah."
Moe Szyslak,"Aw, that's great. Thank you, thanks a lot. Ah, I just wanna say that it was an honor for me to compete with the Mick and the uh, the chick with the rack, there."
Moe Szyslak,"Yeah, yeah, I've been meanin' to get that updated, uh, for this state, and real. Now let's see the poster boy for the new Moe-lennium."
Moe Szyslak,I can't believe they put those stickers over my face. I must be the ugliest man alive.
Moe Szyslak,"Aw, c'mon, look at me. I'm a gargoyle. What, with the cauliflower ear there, and the lizard lips..."
Moe Szyslak,"Plastic surgery, huh?... Ah, maybe they could dynamite Mount Crapmore here and carve me a new kisser."
