tag,quote
CON,"All right. Let me start off by telling you this will not be a walk in the park. This will be the most arduous and backbreaking weekend of your life. I cannot overemphasize the dangers which... did you bring your family, Simpson?"
LEI,"Excellent. I'm so keen on seeing Watson vs. Tatum II, I'd even go to an employee's house. Oh, I can picture it now. The screen door rusting off its filthy hinges. Mangy dog staggering about looking vainly for a place to die."
CON,"My older brother was trampled by a horse, my sister died of a poisoned potato, my twin was shot, that girl was stabbed, he ate another poisoned potato, spontaneous combustion, fell down a well, potato, potato, and impaled on the Chrysler Building."
ECO,"Oh, don't pooh-pooh a nickel, Lisa. A nickel will buy you a steak and kidney pie, a cup of coffee, a slice of cheesecake, and a newsreel! With enough change leftover to ride the trolley from Battery Park to the Polo Grounds."
ECO,"Oh, did you say a million? I'm... I'm sorry, my mind was elsewhere. I thought you would start with a small amount, then we would bait each other and... well, you know how it goes. Yes... certainly, a million will be fine."
FAM,"Oh, there was a terrible scandal. Lily's family forced her to give you up and bundled her off to a convent in the South Seas. I never heard from her again. But I prattle on -- tell me everything about your life."
WRK,"Smithers, I've just seen the most heroic dog on television. He pulled a toddler from the path of a speeding car, then pushed a criminal in front of it. Find this dog. I want to make him my executive vice president."
ECO,"Take fifty percent of my money and put it in the blue chips: Trans-Atlantic Zeppelin, Amalgamated Spats, Congreve's Inflammable Powders, U.S. Hay... and sink the rest into that up-and-coming Baltimore Opera Hat Company. That should set things right again, eh, boys?"
LEI,"Oh, but these aren't just any donuts. These donuts were made the old-fashioned way: the dough is sweetened with Cuban sugar from pre-Batista plantations, then it's deep fried in the tallow of three different animals, two of which are now extinct."
WRK,"As your new manager, I want to say this up front. No one is assured a spot in the starting line-up. I don't care if your name is Steve Sax, Darryl Strawberry, or... Smithers, what's one of the bad players' names?"
PER,"Ooh, I was big man on campus until my senior year, when I became as bald as a plucked chicken. You see, Simpson, I too know the sting of male-pattern baldness. That's why I'm giving you your old job back."
WRK,"When I made you a hoop you split your pants! Now here at the plant there's no position more important than our accounts man, who's responsible for glad-handing our customers and suppliers. I'd like you to take over that position."
CON,"Wrong. All beer trucks heading towards Springfield have been diverted. This town will be as dry as a bone. And if the rest of you beer swilling tube jockeys out there have a problem with this, talk to Homer Simpson."
COM,"Go back to your tenements, where the O'Briens live next to the Goldbergs, who rub elbows with Antonellis, and the only thing you have in common is the squalor of your chamber pot. Oh how I hate you! Bye-bye."
PER,"It wasn't kindness that was keeping me alive, it was bile building up inside! Loathing is my life blood and rage my royal jelly! So yes, thank you, Springfield, for giving me the secret to eternal life -- hate!"
CON,"Well, I... you see... it's just is it a crime to want nice things? And then to steal them from a public museum where any gum-chewing monkey in a Tufts University jacket can gawk at them? I think not!"
LEI,"Heh, heh. As well they might. You know, Smithers, when I was a young buck, my patented fadeaway pitch was compared by many to the ""trouble ball"" of the late great Satchel Paige. Spit on this for me, Smithers."
COM,"And we've got to change our approach to immigration. I have a progressive proposal to let into this country, two hundred grimy Irishmen a year. I've got lots of potatoes that need peeling and stables to be mucked out."
WRK,"Hear me out, Simpson. I don't want you to come back as a Technical Supervisor, or Supervising Technician, or whatever the hell you used to do. I want you to be in charge of safety here at the plant."
ECO,"Oh, look! Some careless person has left thousands and thousands of dollars just lying here on my coffee table. Uh, Smithers, why don't we leave the room and hopefully, when we return the pile of money will be gone."
CON,"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?"
ECO,"I call our product: Li'l Lisa's Patented Animal Slurry! It's a high-protein feed for farm animals, insulation for low-income housing, a powerful explosive, and a top-notch engine coolant. And best of all, it's made from 100% recycled animals!"
WRK,"Now, before we adjourn, gentlemen, I have one last matter of utmost importance. I need to send this parcel with the profit projections to Pete Porter in Pasadena - And it absolutely, positively has to be there overnight!"
LEI,"Look at them all, through the darkness I'm bringing. They're not sad at all, they're actually singing! They sing without juicers! They sing without blenders! They sing without flunjers, capdabblers and smendlers! Tell Simpson I'm ready to deal"
ECO,But I have a new scheme that will undo the terrible damage done by my other schemes. I have an appointment with a Nigerian King to negotiate a uranium deal that will put me right back on top.
LEI,"In closing, gentle reader, I'd like to thank you. What's that you say? Me thanking you? No, it's not a misprint. For you see, I enjoyed writing this book as much as you enjoyed reading it. The end."
LEI,"Well, a bit overly familiar, but I'll allow it. I took in a movie. An appalling little piece of filth. Its leading lady was a blonde harlot who spent half the film strolling around naked as a jaybird."
CON,"Oh, so extortion is the name of your little game, is it Simpson? Very well. Then you get nothing. I have the finest lawyers in Springfield, Simpson. Tangle with me and I'll crush you like a paper cup."
COM,"Now, then. Gentlemen, the mayoral campaign is upon us and if we hope to defeat this Joe Quimby we need a candidate with name recognition and media savvy. A true leader who will do exactly as he's told."
LEI,"Oh, hogwash! Why, I once watched Gentleman Jim Corbett fight an Eskimo fellow bare-knuckled for a hundred and thirteen rounds. Back then, of course, if a fight lasted less than fifty rounds, we demanded our nickel back."
WRK,"Well, Countess Van Zeplin and I... What in blaze... Now you listen to me, you bargain basement Baudelaire. I'm not some dizzy starlet who can't string two words together. I can write this thing myself. You're fired."
CON,"I could crush him like an ant, but it would be too easy. No, revenge is a dish best served cold. I'll bide my time until... Oh, what the hell. I'll just crush him like an ant."
ECO,"I'm not the thief, the government is. Every year you make hard-working Joes like my reporter friend here pay income taxes, and for what? Aid to ungrateful foreigners, do-nothing nuclear missiles, tomb polish for some unknown soldier..."
ECO,"...so that's how I was outfoxed by a little girl and her half-wit companion. When my beautiful stadium was declared a bee sanctuary, and I had to take a third-quarter writedown of eight hundred four million dollars."
CON,"Ironic, isn't it Smithers? This anonymous clan of slack-jawed troglodytes has cost me the election, and yet if I were to have them killed, I would be the one to go to jail. That's democracy for you."
CON,"Smithers. I keep my friends close and my enemies even closer. He'll slowly regain his confidence as the months and years drift by, blissfully unaware that the sword of Damocles is dangling just above his head."
CON,"Smithers Sr. gave his life to save the plant. And, since cover-ups were all the rage back then, I shoved his heroic corpse down the sewer pipe. I never told Smithers the truth about his father."
WRK,"And worst of all, you took the ""Hamburglar's"" birthday off last Monday and Wednesday! Which is it? Now, my voice is giving out, so I'm just going to poke you for the next hour or so."
PER,"Now that I'm the town's oldest man, I'm starting to realize I'm not a young man anymore. I'll have to start taking better care of myself. You know, I haven't had a medicino checkup in ages."
WRK,"...and so our Employee of the Month is the late Roger Ducette, who tragically died from complications due to union organizing. Moving on. The Power Plant's first annual Fourth of July picnic is this coming Saturday!"
ECO,"Ahoy there, Dean! I understand you're taking suggestions from students, eh? Well, me and my Fourth Form chums think it would be quite ""corking"" if you'd sign over your oil well to the local energy concern!"
WRK,"Ah, welcome back, Smithers. Say, do you know Homer Simpson? He pitched in around the office while you were away. Bang up job, Simpson, but I guess it's back to your trusty post in sector 7-G."
CON,"Look at that pig stuffing his face with donuts on my time. That's right, keep eating. Little do you know you're drawing ever closer to the poisoned donut. There is a poisoned one isn't there, Smithers?"
FAM,"She said ""no"" to me. Do you know how many women have said ""no"" to me? One hundred thirty. But only one since I've become a billionaire. And she's the one for me. I'm in love!"
LEI,"No... I thought... I thought, uh, I'd chauffeur myself this evening! Yes, that's what I thought. How difficult can it be? I'm sure the manual will indicate which lever is the velocitator and which the deceleratrix."
WRK,"No. You see, friends... if our anti-nuclear naysayers and choose-up-siders were to come upon an elephant frolicking in the waters next to our nuclear power plant, they'd probably blame his ridiculous nose on the nuclear bogeyman."
CON,"Silence, you sadistic monster! I've got my memory back, and I'm going to wreak a terrible vengeance. Taking an idea I got from a Stephen King book, I'm going to cover this town with a dome!"
LEI,"Friends, art lovers, security personnel. Today is a red letter day for the Springfield Palace of Fine Art. A new wing for our museum and a portrait commemorating the man who ponied up the dough."
LEI,"Well, let's see what I've packed for myself today. One bouillon cube, one concord grape, one Philly cheesesteak, and a jar of garlic pickles. No one will want to kiss me after these, eh, Smithers?"
WRK,"Yes. Now, before I post the starting line-up I want to assure those of you whose names are not on the list, that I'm very disappointed in you. Something was lacking, let's call it heart."
LEI,Many of you consider him to be a hideous genetic mutation. Nothing could be further from the truth. But don't take my word for it. Let's ask an actor portraying Charles Darwin what he thinks.
CON,"Oh, hey ho, men. You know I was watching the DuMont last night and I happened to catch a fascinating documentary on Rommel, the Desert Fox. Now there's a man who could get things done."
ECO,"I don't understand. Pigs need food, engines need coolant, dynamiters need dynamite. I'm supplying it to them, at a tidy profit, and not a single sea creature was wasted. You inspired it all, Li'l Lisa."
FAM,"I have embarked on a ""beneficial friendship"" with a woman with whom I have nothing in common. Her opinions are abhorrent to me. But the passion... well, look at these racy texts she sends me."
COM,"If only we had listened to that boy, instead of walling him up in the abandoned coke oven. Well, I'm going to avenge my grandfather. We'll take on that greedy union and get back our..."
PER,"Want it black, don't you? Black like your heart! It's so hard for me to listen to you, I hate you all so much... I'm sorry. It's my problem. I'll deal with it. Please continue."
WRK,"Well let's look at the contract ourselves. Benefits... perks... a green cookie on St. Patrick's Day? Oh, it didn't used to be this way, Smithers. No, it didn't used to be this way at all..."
WRK,"All right, well, it just explains that you've won -- yes, that's it -- won the first annual... uh... Montgomery Burns... uh... Award for... a-a-a Outstanding Achievement in...a-a th... th.. the field of... uh, Excellence!"
ECO,"Oh, you've really turned my life around these past few weeks, Lisa. I've got my own business again, my beloved employees... oh consargnit. Eh, come on, let's pick up the pace, you neglected old nincompoops!"
WRK,"That's the kind of man I need on my team, Smithers. A real scrapper. A self-made man like me. Bring this Grimes fellow to me. I want to make him my executive vice president."
WRK,"I am pleased to dedicate this remote work terminal. It will allow our safety inspector here to perform his duties from home. And so, excelsior to you, Mr. What's the name of this gastropod?"
PER,"You know, perhaps you're right. I got so swept up with the notion of being liked, I completely forgot who I am. I'm a selfish old crank and that fits me like a Speedo."
CON,"Liar! I'll give you the thrashing of a lifetime! Resistance is futile. Oh God, how I only want my bear. But he's gone. Gone forever. I'd give anything to know what happened to him."
LEI,"You know, I'm no art critic, but I know what I hate. And I don't hate this. Your painting is bold but beautiful. And uh, incidentally, thanks for not making fun of my genitalia."
WRK,"All right, everyone. It's time for your Christmas ""boni."" Everyone gets a five dollar cafeteria voucher...and for your boy, a confectioner's card featuring a current baseballer. It's that rookie from the New York Nine."
CON,"Snappy, do you it's hard to imagine, but I was once a barefoot boy with cheek of tan. I dreamed of grand slam homeruns and wiping out nations with the stroke of a pen."
ECO,"Oh yeah, settlement? Fine! Hang your heads in shame, you over-priced, under-brained, glorified notary publics! Just get that big ape to my house tonight and we'll buy him off with a banana or two."
CON,"Well I'll make these rioters regret their folly. This prison will make Abu Ghraib look like the Four Seasons. Smithers, we'll need electrical wire, a hood and someone who can really point at genitalia."
COM,"They were getting too grabby! All right, I know how to change the way the public thinks of me: I'll buy every media outlet in town. Bring me a checkbook and a mother mole!"
CON,I'll either tickle your ribs or feed them to my dogs! Now we're ordering out. What would you like on your pizza pie? Extra cheese?! Who do you take me for? Lorenzo De Medici?
ECO,"I have to buy the mineral rights for every single parcel of land in Evergreen Terrace. To win people over, I'll need a salesman whose folksy fa̤ade masks a deep gusher of greed."
FAM,"Smithers, my plan worked perfectly. Bart Simpson will live here as my son, and I will mold him in my own graven image. Who knows, I may even grow to love him. Bartholomew!"
FAM,"I had a little left between my toes. It quickly multiplied, and now I'm a bigger bastard than ever. But I must know -- what was it about me that made you try?"
CON,"This house has quite a long and colorful history. It was built on an ancient Indian burial ground, and was the setting of satanic rituals, witch burnings, and five John Denver Christmas Specials."
FAM,"Hurry! Fire him now or I'll disown you. You'll lose everything. The fabulous toys, a lifetime of wealth and luxury, the gift certificate from Blockbuster Video, the freedom to do whatever you want."
LEI,": Yes... But not completely full, for you see... / ""SOME MEN HUNT FOR SPORT, /OTHERS HUNT FOR FOOD / THE ONLY THING I'M HUNTING FOR / IS AN OUTFIT THAT LOOKS GOOD..."""
LEI,"Oh, I imagine Cap City's been wooing you with trips to the seashore, a Christmas goose, Spanish lemons... folderol I can't afford to match. But please, accept this little going away present."
ECO,"Welcome, friends. I've invited you here to share in our first quarterly profit report. I'm sure you're all eager to hear how much richer I am. Now, to end the suspense: Elon?"
LEI,"Oh, that's right, he's dead. And rather pungent. The rest of that night is something I'd like to forget. All right, then. Bring me that crooner she likes so much... Tom Jones."
ECO,"Well, I've discovered the perfect business. People swarm in, empty their pockets, and scuttle off. Nothing can stop me now. Except microscopic germs. But we won't let that happen. Will we Smithers?"
COM,Oh. I get your angle. Every Joe Meatball and Sally Housecoat in this God-forsaken state will see me hunkering down for chow with Eddie Punchclock. The media will have a field day!
LEI,"Spare ribs, eh? I've played a round of tenpins or two in my life, and to me, the word ""spare"" reeks of second best. Give me ten full frames of strike ribs!"
WRK,"Oooo, look at him strutting around like he's cock of the walk. Well, let me tell you, Homer Simpson is cock of nothing. Why you and I can run this plant ourselves."
WRK,"Yes, well, no more of that... thanks to this twenty-six million dollar surveillance system! Beware, rabbits... I spy with my transplanted eyes! Oh, and I forgot to show you the best feature!"
CON,"Yes. Now then, Homer, old chum, I'm sure you'll agree with me that this trial is an affront to our collective dignity. What do you say, we settle this man to man?"
LEI,"HEY DON'T YOU REMEMBER / THEY CALLED ME AL / IT WAS AL ALL THE TIME / HEY DON'T YOU REMEMBER / I'M YOUR PAL / BUDDY, CAN'T YOU SPARE A DIME."
CON,"Compadres, it is imperative that we crush the freedom fighters before the start of the rainy season. And remember, a shiny new donkey for whoever brings me the head of Colonel Montoya."
ECO,"It's a brain and nerve tonic. Rich in proteids and electromagnetic juices. It promotes robust health. Of course, it has been known to cause gigantism, but only in rare cases. Try some."
WRK,Tchah! I'm not a baby who needs a nursemaid to burp me. You see? Now I insist you take a vacation just as soon as a temporary substitute can be found.
PER,But I won't become just any bat -- I shall be the terrifying bat who swoops from the sky and sucks the vital essence of his prey. I shall be: Fruit-Bat-Man!
REL,"Let this be a lesson to those who love cash, that your nice stash of cash could be gone in a flash. And if you are awful and nasty and cruel..."
PER,I've had one of my unpredictable changes of heart. Seeing these fine young athletes reveling in the humiliation of a vanquished foe... I haven't felt this energized since my last... boweling.
CON,"Silence, Monkey. Now that you're Father Christmas, we have an opportunity to bend this town over our knee and give it a pranking it will never forget. Here's what we do..."
PER,"Yes... that's the one. Smithers had thwarted my attempt to take candy from a baby, but with him out of the picture, I was free to wallow in my own crapulance."
LEI,"Yes. You see, you're a left-hander. And so is the pitcher. If I send up a right-handed batter, it's called playing the percentages. It's what smart managers do to win ballgames."
FAM,"Gah! Oh, hello, Mater. Uh... Sorry about pulling the plug on you and all. Who could've known you'd pull through and... live for another five decades? Oh, is my face red..."
PER,"Bart, I know you children see me as some sort of ""booger man,"" but I'm really not such a bad ""dude."" Oh, your milk's gone cold. I'll ring for the maid."
PER,"It's time for this peacock to show his feathers. You know, the feathers with the big eye that trick them into thinking that's my front? Said feathers are what I'll flaunt!"
CON,"Uh-oh, the Germans are comin' to get me. Oh, don't let the Germans come after me... Oh no, the Germans are coming after me. Oh, no, they're so big and strong..."
ECO,"Up-up-up-up. Don't answer me now. Relax, talk it over with the missus, soak in the opulence of your surroundings and dream of what might be. Smithers, let's go powder my nose."
WRK,"Smithers, I've designed a new plane. I call it the Spruce Moose, and it will carry two hundred passengers from New York's Idlewild Airport to the Belgian Congo in seventeen minutes."
COM,"That's right. All his talk of peace and love is really honking off my red Chinese masters. Now Smithers, walk me around the park until I fall asleep. I'm feeling fussy."
LEI,"No, no, just give them each a nickel and send them to Moe's. Let them while away the afternoon spilling their beer on gullets and trousers whilst drooling over French postcards."
WRK,"... Now, a few more details about this year's company picnic. It's at the plant, no food will be served, the only activity will be work, and the picnic is cancelled."
LEI,"Oh, by the way, you new fellows, there's a sign up sheet for the company softball team on the bulletin board over there. Eh, just in case you wish to play."
LEI,"Tomorrow is the biggest day of your lives. The Shelbyville game. So lights out at seven-thirty and abstain from coffee, tea, and cola drinks. Make no mistake, they pack a wallop."
FAM,"I don't understand. She was my young, sexy fianc̩e, he was my sexually virile best friend, and they just drove off in my Bugatti Sexarossa. How could this ever have happened?"
PER,"Curse that Elon Musk! Thanks to that Earth-smooching buttinski, I'm on the verge of bankruptcy. All I have left are the clothes on my back and the clones in my freezer."
WRK,"Well, well, well! Our dashing young junior executive! You made a hollow mockery of our morning meeting, Simpson. I should fire you on the spot! But I'm not going to."
PER,"I am the squeak in the rafters, the flutter in the chimney, the tiny teeth-marks in the peach... I am ""Fruit-Bat-Man!"" Now, back to my natural realm, the inky night!"
LEI,"Oh, for the love of Peter! That's all anybody brought. Some damn fool went around telling everyone I love that slimy goop. Well, toss it in the pile over there."
CON,Shot? By you? I'm afraid not my primitive friend. Your kind has neither the cranial capacity nor the opposable digits to operate a firearm. The one who shot me was...
LEI,"Nonsense! Dogs are idiots. Think about it, Smithers. If I came into your house and started sniffing at your crotch and slobbering all over your face, what would you say?"
FAM,"It looked a lot better in my memory. But do you know what, Smithers? I will find Lilah and win her back... I'll just check with the old gang. Hemingway!"
LEI,"And now... I must ask that small children leave, good women avert their eyes, and men take a stiff slug of circus whiskey... behold, the most hideous creature of all!"
LEI,SO LISTEN UP BECAUSE I'M GIVING / THE BEST ADVICE YOU'LL EVER KNOW / SO FEEL THE THRILL / I KNOW YOU WILL / IT'S A HIGH TO BE LOA...THED!
CON,"Oh, Tuttle's Sunday trousers! Fear not, I'll get you to a hospital, the only way I know how. Smithers, you infernal ninny! Stick your left hoof on that flange now!"
CON,"Now if you can get it through your bug-addled brain, jam that second mephitic clod-hopper of yours on the right doo-dad! Now pump those scrawny chicken legs, you stuporous funker!"
WRK,"Ooh, I'm afraid you misunderstand. This picnic is for me. You will all be spending your Independence Day slaving away in the hot summer sun without pay, lotion or gratitude."
WRK,"In any event, much as what formerly was my kidney is now my heart, I've decided to promote from within. One of you will get the job. But which one?..."
CON,I suppose there's no harm in telling you. I'm using the rocket to dispose of Springfield's nuclear waste -- by sending it straight to the heart of the Amazon rainforest!
FAM,"Now Smithers, I need your advice picking out a gift for a very dear friend of mine. A single fellow, a bit quiet, but one with a warm loyal heart."
WRK,The whole plant is a environmentally-sound. It's powered by old newspapers. The machinery is made entirely of used cans. And the windows are from the old liquor bottles we collected.
COM,"Yes, I, too, feel renewed appreciation for the good old U.S. of A. Oppression and harassment are a small price to pay to live in the land of the free."
PER,"For me? Bobo? Smithers, I'm so happy. Something amazing has happened. I'm actually happy. Take a note. From now on, I'm only going to be good and kind to everyone."
LEI,"Thank you, thank you everyone. And now, presenting the ninth wonder of the world, the eighth being Gomer Pyle's heavenly singing voice... I give you! -- the Loch Ness Monster!"
LEI,"Nonsense! Dogs are idiots. Think about it, Smithers. If I came into your house and started sniffing at your crotch and slobbering all over your face, what would you say?"
CON,"The world has turned has it not my tin-plated friend? Look at you -- you, who were once so proud -- Feel the wrath of the left hand of Burns!"
ECO,"Hello. My name is Mr. Snrub, and I come from... eh, someplace far away. Yes, that will do. Anyway, I-I say we invest that money back in the nuclear plant."
CON,"Ladies and gentlemen, in his native land he was a king. But he comes before you in chains, for your own amusement. Presenting Homer, the Eighth Wonder of the World!"
LEI,"No, but his career is. I remember when Al Jolson ran amok at the Winter Garden and climbed the Chrysler Building. After that, he couldn't get arrested in this town."
PER,"Now, Mr. Rude, I just want you to know I'm a good sport. If you want to make fun of my legendary love of cashews, you have at it."
WRK,"This is the last time I pay the price for the irritating mortality of the human worker! Smithers, it's time to re-staff with the super-intelligent kangaroos we've been breeding!"
ECO,"Eh, here's where I stopped checking it last time: September nineteen twenty ni-- Oh, no! Oh, no! Oh, no! Smithers, why didn't you tell me about this market crash?!"
WRK,"I had to get a job. And I had to start at the bottom. But to get to the bottom, I had to work my way up from Moe's."
COM,"Ah, sitting with the employees. I guess this proves I'm their friend. You did get me something on an aisle, Smithers? I don't want to be surrounded by them."
CON,"Oh, it's you. What are you so happy about? I see. Well, I think you'd better drop it. I said drop it! Get your -- get your hands off--"
LEI,"Well, now that I'm forcibly retired, I feel I should give back to society and do some charitable work. But first, I want to take a lot of opium."
WRK,"And to show that I'm not playing favorites, both Smithers and I will be participating. Who knows? I might be the unlucky one who gets fired. Not bloody likely."
LEI,"Cheating for me? Good lord, Smithers, that's patently unnecessary. I'm one of the world's finest golfers! In all the years you've caddied for me, I've never lost a-- Oh."
REL,"Oh Smithers, I was wrong to play god. Life is precious, not a thing to be toyed with. Now, take out that brain and flush it down the toilet."
WRK,"Our new, well uh, we'll make up jobs for these fellows later... Please say hello to Steve Sax, Don Mattingly, Darryl Strawberry, Ozzie Smith, Mike Scioscia, and Jose Canseco."
FAM,"Oh yes. And this must be your lovely wife... ... ""Marge."" And look at little... ... ""Lisa"". Why, she's growing like a weed. And this must be... ... ""Brat""."
LEI,"Welcome to Earth, local time is ten-thirty-seven, we know you have your choice of portals so thank you for choosing the Burns Hellport, a division of Gulf and Western."
ECO,"No, sorry. My diamonds are going to be retro-morphed into coal... the most valuable substance on earth. I know. I'll send you to Yale, with the Monty Burns Scholarship."
ECO,"Think of it, all that poor natural gas, trapped underneath your shanties and lean-to's. Smithers, give these two brats what they deserve for sticking their noses in my business."
CON,"Smithers, we could make a fortune with these Bible pictures. And I've been looking for a way to launder the money I made selling club soda as flu vaccine."
COM,"And to insure your immortality, your heroic visage will be added to our Wall of Fame... Oh, and uh, what's this? A congratulatory phone call from Earvin ""Magic"" Johnson."
COM,"Bah! Fracking produces enough clean natural gas to make America independent of sheikhs, caliphs and... Scandinavians. Not to mention it doesn't create any of that awful worker-mutating nuclear waste."
COM,"To show there's no hard feelings, please take an advance copy of my book, ""Will There Ever Be A Rainbow?"" And now, young fellow, I haven't forgotten you. Here."
FAM,"Oh, well, when I was six, my father took me on a picnic. That was a gay old time. Oh-ho, I ate my share of wieners that day."
