tag,quote
FAM,WELL I'VE GOT A DATE WITH A GIRL WITH NO NAME / IT SURE FEELS GOOD TO BE BACK IN THE GAME / AT DESSERT MAYBE I CAN ASK HER HER NAME / 'CAUSE I CAN'T PRAY FOR HER WITHOUT THE RIGHT NAME...
FAM,"Homer, I'm as permissive as the next parent. I mean, just yesterday, I let Todd buy some Red Hots with a cartoon devil on the box. But you can't possibly think it's appropriate for your ten-year-old son to work in a burlesque house!"
COM,"You are a picture and a half! Well -- hee hee! -- if you're finished by tomorrow, come on over and strap on the feed bag. We're gonna fire up old Propane Elaine and put the heat to the meat! Nummy nummy num!"
COM,"That concludes our Halloween show for this year. I just want to say that for watching this network, you're all going to Hell. And that includes FX, Fox Sports and our newest Devil's portal, The Wall Street Journal! Welcome to the club!"
REL,"Look Homer, all of us pull a few boners now and then... go off half-cocked and make asses of ourselves. So, I don't want to be hard on you... but I just wish you wouldn't curse in front of my boys."
LEI,"Yeah. I made a great film, but I'm havin' trouble gettin' it out there. I'm like Michael Moore, except I'm skinny, my jeans are washed, and God loves me. I just wish I could find some way to spread my message."
REL,Bart and Homer can't go Catholic! The Romans have been separate from us since the Schism of Lourdes in 1573. And that was about our holy right to come to church with wet hair. Which we've since abolished.
REL,"God Homer, watching you risk your life turned my beat box all the way up to .. Rumba! Yea, I was praying you'd be safe but to be honest, part of me wanted to see ya get splattered."
CON,"Ahh, of course! This must be where he dropped the dagger. And this is the butler's pantry where Mrs. Astor concealed herself. And right here's where they found the torso heap! In front of our very own fireplace!"
COM,"Well sir, we could do a little Quid Pro for the Kay-Pro. The left-handed convention is in town, and as the owner of Springfield's largest southpaw shop, I just gotta be there. Could you uh, nanny-goat my kid-diddly-ids?"
REL,"Name's Ned Flanders, credits include Jesus in the passion play last year, Jesus in the passion play the year before that, Jesus, Jesus, a kindly hobo who turns out to be -- you guessed it, St. Peter..."
WRK,"Hello, Gas Company? How poisonous is your gas?... Wow. But-- Eh, but I'm talkin', you know, about outdoors with plenty of ventilation that... How could that be worse?... Okay, permanent brain damage, or just temporary?... I see."
COM,"Well sir, like one out of every nine Americans, I'm left-handed. And let me tell you, it ain't all peaches and cream. Your writing gets smeared. Lord help you if you want to drive a standard transmission."
REL,"Thank you. Now, it was one of our biggest celebrations...the nineteenth Sunday after Easter. We'd just had a rousing no-fun run and in the heat of the moment I wanted to offer my respectful best wishes."
ECO,"Uh... Homer... Ah, about those things you borrowed from me over the years -- you know -- the TV trays, the power sander, that downstairs bathtub... you going to be needing those things in Cypress Creek?"
ECO,HOW I LOVE MY COAT OF MANY COLORS / IT WAS RED AND YELLOW AND GREEN AND BROWN / AND SCARLET AND BLACK AND OCHRE AND PEACH / AND RUBY AND OLIVE AND VIOLET AND FAWN...
LEI,"In the last game, our shortstop hit a long foul ball, but the umpire called it a homerun... and I let it go without saying a word. I just don't like the monster I've become."
CON,"Well, any hoodily-doodle, the embassy says it's just a routine hostage-taking -- but I have to drive to Capital City, fill out some forms to get 'em out. Could you possibly watch the kids tonight?"
WRK,"Bart, I've barely been here a good solid week, and you've been sent to my office eleven times. And now that I have peanut butter cups, you seem to be gettin' in trouble every hour."
FAM,"Oh, hi, Marge. Heh-heh. Guess we gave you quite a start. We were painting Todd's room red -- pretty messy work -- and then we came out here to take a break. Must've dozed off."
COM,"Well, Homer, our kids showed us something today, huh? By working together, we can both be winners. Thank heaven neither of us has to go through with that silly wager. Put 'er there, pal."
WRK,Oh I was just wondering how many boxes of staples I should order for the store. Does ten sound like a lot to you? Twenty? Fifty? What does sound like a lot to you?
ECO,"Gee, I always like to help you, Homer, but I don't want to be an accessory to some sort of shady doin's. And it does raise a whole host of ethical questions, such as..."
COM,"Well, the people who lived here before, um, weren't always the best neighbors. But I love 'em. And, uh, you can't be a saint unless you live among the lepers. Hope you don't mind."
COM,"Pays for itself after the 16th visit. You know, most people don't know the difference between apple cider and apple juice. But I do. Now here's a little trick to help you remember..."
FAM,"Well, howdaly-do, Simpson? Gettin' a little exercise, eh? Good for you, pal. Oh, look at this old rascal! He's a wet old baby boy, isn't he? Isn't he? You're just a water monster."
REL,I started drinking orange juice with pulp! I asked the Reverend and he said it was okay. Then he hung right up on me. That man is cranky at three in the mornin'.
REL,"Oh, we're not as well-off as you think. We give to eight different churches, just to hedge our bets. And the Leftorium's business has gone way downhill since Leftopolis moved in next door."
WRK,"All right, I'd like to call this meeting of the PTA to or-diddly-order and let's see if we can't put an end to this strike fuss, huh? Mrs. Krabappel, why don't you begin?"
FAM,"Oh, I see by the big board we've got a Negative Nellie in Sector Two. I'm afraid I'm going to have to ask the whole family to kinda freeze and prepare for re-Neducation."
COM,"Only ten dollars to paint my curb like a common whore? Well I'm happy to pay for a three-digit spray! Tell you what, I'll give you another hundred if you paint my garage!"
ECO,"""Made in Humbleton, PA."" I don't usually make big life decisions based on things stamped on things that I bought at a garage sale. But corndog it boys, it's time for a change!"
REL,She's right. We thought we could enter the den of sin and emerge unscathed. But we were scathed! Those free ginger ales at the casino... I didn't declare them on my taxes!
FAM,"WHEN I WAS JUST A LITTLE GIRL / I ASKED MY MOTHER WHAT WILL I BE / WILL I BE PRETTY, WILL I BE RICH? / HERE'S WHAT SHE SAID TO ME..."
PER,"All right. It's true. I am a murderer. I over-watered Maude's favorite ficus plant, I panicked, and then I buried the remains. I was hoping to replace it before you got home."
REL,"Now coach, I've tried to be Christian and respectful, but I guess I'm just gonna have to point out your two hundred thousand dollar check bounced. Legally, I still own this house."
COM,Oh our courts aren't fit to keep children in line. The only thing they're good for is telling women what to do with their bodies. What these boys need is adult supervision.
REL,"Mm-hm. That's the one! They've got a top-notch leper colony there, so we shipped 'em right off. Ooh, cost us a bundle, too. I guess we'll have an ""Imagination Christmas"" this year."
REL,"I'm sorry honey, but I'm stuck in this meeting of the Springfield L.G.B.T. The Left-Gifted, Bidextrous, and Transhanded community. We're tryin' to decide on the theme for our ""Left is Right"" parade."
COM,"So anyway, uh, your movie's wrapping up soon. I guess you'll be headin' out on the first bus to the airport. If you ride with a friend, you can save twenty bucks!"
ECO,"Fella came into the store today and asked for change for a dollar. Well sir, I gave him three quarters by mistake. Took me the whole afternoon to track him down."
REL,...Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers. Judah became the father of Perez and Zerah by Tamar.
REL,"Oh Lord, I know my new wife is a little more... ""peppermint"" than you're used to. But, uh, I know you'd want me to honor my sacred vows, so I will."
FAM,"Well, sir, our good Lord, and my boys are all I've really got. All Edna left me was wonderful memories and some ungraded papers, which I'm still working my way through."
REL,"Dear Lord, please make Homer's blows precise and deadly with a minimum of pain. Oh, and forgive me for those impure thoughts I had about the girl on the raisin box."
COM,Imploring people I never met to pressure a government with better things to do to punish a man who meant no harm for something nobody even saw. That's what I'm doing!
COM,"Oh, I should say not. I gave up on L.A. when those TV people made that poor nun fly. All those Puerto Ricans lookin' up her dress. That's not right."
CON,"You know, with all the energy we're puttin' into this sabotage thing, we coulda written sonnets for our wives, or learned to tango, or lovingly restored one of those antique..."
PER,"But I think if we hold off for a while, you'll find I'm well worth the wait. Like a mild cheddar I get tangy when I'm sittin' on the shelf."
FAM,"Okay, okay folks, look. I called the Police Captain in Shelbyville. He says he hasn't seen our kids, but if they show up in the morgue he's gonna fax us."
COM,"It's wonderful. I... I... I don't know how I can possibly repay you, but if any of you ever need a favor, just look for the happiest man in Springfield."
COM,"No, no, no, no, no, no, no. I'm just thinking we could send you to a better place... you know, a place where they can really take care of you."
PER,"Thanks, everyone. I'm all better now. No more storing up the anger 'til I explode. If any of you does something I don't like, you are gonna hear about it!"
REL,"You two are the kind of tenants every landlord dreams of: excellent credit, Christian but not Baptist, and let's see: according to your application you only have sex for procreation."
CON,"Oh yeah, the clown. The only one of you buffoons who doesn't make me laugh. And as for you -- I don't know you, but I'm sure you're a jerk."
REL,Church songs with clapping... I don't think this is what Martin Presbyluther had in mind when he founded our religion by sticking his Three Suggestions under the Pope's windshield wiper.
CON,"Now, in case all that smilin' didn't cheer ya up, there's one thing that never fails. A nice glass of warm milk, a little nap, and a total frontal lobotomy."
FAM,"Well, I may go a little bit easy on the old hickory dickory stick, but that's, that's because my dad was so hard on me when I was a boy."
WRK,"Well, tippity-top o' the a.m. to every-good-body here! As chairman of the PTA, I Am dee-diddily-lighted to take over, and I think I can put the ""pal"" back in principal."
COM,"Stan, tell you what -- Homer Simpson here is just about the biggest Atom fan that's ever graced God's green earth. I bet he'd enjoy it, even more than me."
LEI,"This is it, boys -- One more out and we go to the championship game. Let's do it for Groundskeeper Willie... who made me this beautiful black bicep warmer!"
REL,"Tonight's G-rated gem is a silent film from my favorite year -- yester! And while you enjoy this quiet riot, I'll be slipping these religious pamphlets on your windshields."
REL,"Morning, Kent. Our volunteers have done an amazing job getting the park ready here. We're gonna show Springfield that faith and devotion are the wildest thrill rides of all."
LEI,"Well thank you for taking me to that Pinkberry place. It's a lot less racy than its name would lead you to believe. Crossin' it off my ""do-not-go"" list."
REL,"As the oak said to the beagle, you're barkin' up the wrong tree. I spent the whole morning blackin' out the ""goshes"" and ""darns"" in these Hardy Boys books."
COM,"Welcome, neighbors... since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!"
PER,"I just felt so ashamed I just couldn't go home. Today, I gave in to the one thing I vowed I would never have in my marriage: strong feeling."
FAM,"Oh, imagine that -- sleeping quietly after a bug attack! Oh, and Todd's as dry as a bone! Lisa, you're a wonder! I'm going to recommend you to everybody!"
COM,"Uh, I'm in some hot soup here, Marge. Uh, some teenagers are hanging out in front of the store. I... I think they could start slacking at any moment."
COM,"Now, I like a good old-fashioned witch trial as much as the next person, but I do not think we should be so quick to judge our long-time neighbors..."
REL,"Science is like a blabbermouth who ruins a movie by telling you how it ends. Well, I say there are some things we don't want to know! Important things!"
LEI,"If it's clear and yellow, you've got juice there, fellow! If it's tangy and brown, you're in Cider Town! Now there's two exceptions, and it gets kinda tricky here..."
FAM,"... Rod says ""Marco,"" and darn it if Todd doesn't say ""Polo"" right back! Oh, listen to me just running my gums about my kids. You're probably bored silly."
LEI,"Here, this may sound just a teensy bit insane in the ol' membrane, Homer. But I, I was wondering if you could show me how to have some fun."
PER,"Look at this place! We must have really painted the town last night. I have a pounding headache, my mouth tastes like vomit, and I don't remember a thing!"
LEI,Sometimes I forget that we have things a little better than the Simpsons. I drag him over here. He has a few beers. You can't blame him for erupting.
ECO,"Hmmm. Let's see, cash-register ink. Well, sir, that's a business expense, isn't it? Mmm... But then I do enjoy the smell of the stuff -- better not risk it."
REL,"All these years I thought murder was a sin. Then, I got new instructions from the good Lord Himself, through my bible: in his favorite language -- English."
FAM,"What a charming single entendre. Now look, I know marriage is scary, but if you really think she's the one, it gives you two a shot at forever."
ECO,"Oh golly, if that doesn't put the shaz in shazam. Oh listen, what's the cash value of those tickets so I can report it on my income tax?"
FAM,"Well, my family and I can't live in good intentions, Marge! Oh, your family is out of control, but we can't blame you, because you have goooood intentions."
LEI,"Oh, I did it! I conquered my fears and I made up for a lot of lost livin'. And I owe it all to the Homer Simpson program."
WRK,"Besides my kids, the only thing in my life is my business... The Leftorium. We've been the anchor store in the ""sad mall"" for the last ten years."
COM,"Why, I'll give you a jump, I'll rotate your tires, I'll even fold up that map for you. I know they can be a dickens of a doozy..."
REL,"Here's a preview. GOD SAID TO NOAH / BUILD YOURSELF AN ARK-Y ARK-Y / ANIMALS CAME ON BY ONES AND TWOSIES, TWOSIES / ELEPHANTS AND KANGAROOSIES - ROOSIES..."
ECO,"Well, there's no house to put it in, Homer, not since that nice fellow from the bank, who was only doing his job, came and locked it up."
REL,"Boys, I just talked to God. He's vacuuming Heaven to get it ready for when dead people show up. And He'd like you both to render a sacrifice."
PER,"You know, I pride myself on being a good host, so I'm obliged to offer you a beer. But I'm so darn mad it's gonna be mostly head."
PER,"Well, I know it's a little risky and it's gonna be a lot of hard work, but gosh darn it, it's gonna be a lot of fun, too."
PER,"Well, I'm not sure I want to do it. I mean ""who'll buy the cow when you get the milk for free?"" You know, the cow being me."
FAM,"I'm so glad you're watchin' the boys, Marge. Our last babysitter let 'em watch ""Comedy Central"", now Rod makes me check the closet every night for Rita Rudner."
ECO,"...Bless the grocer for this wonderful meat, the middlemen who jacked up the price, and let's not forget the humane but determined boys over at the slaughter house."
WRK,"Hey Homer, Ya know, I owe you one, buddy. No sooner had I shaved off the old cookie duster, than a lady cast me in a commercial."
FAM,"Sorry to bother you, Reverend Lovejoy, but I'm kind of in a tizzy. Our son Todd just told us he didn't want to eat his ""damn vegetables."""
CON,"You know how you said you could help me with any desire and nothing was forbidden? Well, sir, I want you to rid of Lisa's bully teacher."
FAM,"Homer, that's really touching. But my boys and I are trying to make a new start, and the people here are a little more my cup of..."
ECO,"Oh, okay ""Dude."" I wouldn't want you to have a cow, ""Man."" Here's a catch-phrase you better learn for your adult years: ""Hey, buddy, got a quarter?"""
FAM,"Well, I guess a little television won't hurt. I used to let the boys watch ""My Three Sons,"" but it got 'em all worked up before bedtime."
REL,"Why, I bet the Lord is pleased as punch that we're using that dirty casino money to rebuild his temple. Our mission is one hundred percent pure."
COM,"Friends, we love you all, but I also have a ""sinister"" motive for asking you all here -- ""sinister"" being Latin for ""left-handed."" But enough joking."
PER,"Oh, indeedily-doodily. I've even been in ""Streetcar"" once before. I played Blanche DuBois! Hmmm huh. Just part of the fun of going to an all-male school."
REL,"Reverend, I'm sorry to bother you at this hour but I threw a man out of my house today. I feel like I've violated Matthew 19:19."
FAM,"Now, Maude, in our movie, you lay baby Moses in the basket, then put it among the reeds. Okay? Lights, camera, act - diddily-doddily-doodilly- Action Jackson!"
PER,"Edna, I had a long walk with Homer Simpson yesterday, and as I was carrying him back home, I had a lot of time to think."
COM,"I never wanted to turn into Big Brother. I just wanted to be Little Sister, tattlin' on everyone so the town would be a nicer place."
LEI,MY MOUSTACHE / IS BRISTLY / MY LETTERS / ARE EPISTLY / AND I DON'T WANNA / MISLEAD YOU / I LIKE TO HUG AND KISSLY--
PER,"Ah yeah, I never shoulda had that trendy laser surgery. It was great at first, but you know, at the ten-year mark, your eyes fall out."
FAM,"Oh, oh, no, it's just a little campout tonight, then off to my sister's apartment in Capital City. Hey what do think, kids? The big city!"
ECO,"No! You tried to warn me about gambling my family's future on some pig in a poke... I didn't listen. Homer, you were a true friend."
LEI,...AND LILAC AND GOLD AND CHOCOLATE AND MAUVE / AND CREAM AND CRIMSON AND SILVER AND ROSE / AND AZURE AND LEMON AND RUSSET AND GREY...
COM,"So if you're looking for a half bag of charcoal briquettes, or an artificial Christmas tree -- trunk only, c'mon over to the Hibbert table. Pronto."
LEI,You come all the way to Jerusalem -- the happiest place on earth -- and all the photos in your camera are of funny soda pops?!
FAM,Really? Do you mind if I bring my boys over so she can infect Rod and Todd? Then there'll be a pox on both our houses!
LEI,Why don't you freeze it with an ice cube and hit it with a hammer? Works for me when I get bubbly-gum in the ol' push-broom.
REL,"Homer, you can't drive a car onto a subway! You need a special sticker just to bring a bike! Have you no respect for the law?"
ECO,"Oh, it'll be fun. We're gonna go through our old cancelled checks and receipts and give ourselves an audit. Make sure we don't owe anything extra."
FAM,"Oop, sorry, Bart, that's a Neddy no-no. You're not allowed to handle a pocketknife 'til you read this booklet on knife safety and pass a test."
COM,"You betcha! In fact, some parents have been known to hold ""pox parties,"" so other kids in the neighborhood can get the disease when they please."
REL,"What do we have here? The long, flabby arm of the law. The last case you got to the bottom of was a case of Mallomars."
REL,"Lord, this town may have turned its back on you, but not the Flanderses. Wherever we are, you'll have your church. Are you with me, boys?"
LEI,AND PURPLE AND WHITE AND PINK AND ORANGE / AND RED AND YELLOW AND GREEN AND BROWN / SCARLET AND BLACK AND OCHRE AND PEACH...
REL,"Neighbor, Marge invited me over to be the little angel on your shoulder, so you wouldn't listen to the four hundred devils on the other."
FAM,"Oh, you're sweet to offer, but, uh, we're all just so tired, we just want to get to our new house and rest in peace."
REL,"You know at times like these, I-I used to turn to the Bible and find solace. But even the good book can't help me now."
FAM,"Uh, listen Homer, ah, hate to be a fussy Freddy and all, but Maude's folks are here and, ah, they're a tad touchy about odors..."
REL,"It's because I believe every soul has the possibility of salvation. At least I thought so till now. Homer Simpson, you are not worth saving."
LEI,"Mmm-hmm. And some people steer clear of that whole hornet's nest. I'll stick with just plain white bread, thank you very much. Maybe with a--"
WRK,"Well, it's been a tad harder than I thought, but I'm not complaining 'cause I work for a sweet, sweet, boss. You're our foreman, Maude."
PER,"Oh, the lights, the noise, the letter X -- i-it's all designed to inflame the senses. I'm overstimulated! I gotta get out of this town!"
REL,"Hey, the Simpsons make it up as they go along, and they're as happy as a ribbon in a bible. What do you say, sweetie?"
WRK,"Forget it! I am turning in my... well, I don't really have anything to turn in. So that's that! I suggest you call Homer Simpson."
PER,"Well, whatever I've got I owe to hard work, honest living, and flossing my teeth, tail and toes. Plus a little prayer now and then."
FAM,"Okay, kids, now I'm gonna teach you how to trap wild animals. But this should only be used in a life or death situation."
CON,"Well, get out the Crayolas and color me tickled pink! Oh, what's with the lead pipe? Were you gonna give my noggin a floggin'?"
ECO,"Oh, you betcha! You know, they got velcro straps, a water pump in the tongue, built-in pedometer, reflective sidewalls and little vanity license plates."
REL,Aren't we in luck? Today's our tithe day and we've got ourselves a transient. Come in my friend. Let us feed and bathe you.
WRK,So it is! I'm just here to pay the fine for the Sunday School bus. You towed it with the kids still in it!
REL,"Let's see... ""Get Bent."" Well, the only thing that could mean is kneel down and pray. We'll take the whole box. Get bent, everyone!"
PER,"Come on, Ned. Just because you foresaw Dr. Hibbert's death doesn't mean you can see into the future. It was just a sinister co-inky-dink."
REL,"We may be going to hell for seeing ""side bosom,"" but this backyard is a little slice of Heaven, all thanks to Homer Simpson!"
ECO,"Oh, I can't take money from a neighbor. Although, business at the Leftorium's been pretty slow since that big chain store came to town."
REL,"""And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people..."
REL,"Dear Lord, thank you for creating so many evil criminals for us to bring in. And also, thank you for my partner Homer, who..."
PER,"Oh, now, calm down Neddilly-diddily-diddily-diddily-diddily... They did their best... Shoddily-iddily-iddily-diddily... Gotta be nice... hostility-ilitity-bility-dility -- Aw, hell, diddly-ding-dong-crap! Can't you morons do anything right?!!"
REL,"Y'know, our bible study group is going to the Holy Land next month. I'd like you and your family to come as my guests."
COM,"Bart Simpson? Why, he lives right next door to me! Yeah, when they made him, they did not skimp on the puppy dog tails."
FAM,"Oh, what the heck. I know it's impolite to make a move till episode twenty-five of a Ken Burns documentary, but you're that special."
LEI,"All right, Wildcats! Are you ready to give 110 per cent, take it one game at a time, and go the whole nine yards?"
ECO,"Well, guess I might as well head back to my store. I've got a date with some twins: my state and federal tax forms."
CON,"Well, in that case... My neighbor Homer released a radioactive ape in my house. It's ah, it's taken over the whole top floor."
LEI,"I'll have a Shirley... no, a virgin... no, make it a children's... Oh, what the heck, you only live once. Give me a..."
LEI,He taught us how to live a Burt Reynolds lifestyle on a Mac Davis income. We've already got tickets for his next seminar.
FAM,"Well, sir... when we got married, I knew I'd find some spices in my chili. I guess they can go to Springfield Hellementary."
FAM,"Au contraire, man with no hair! You see, Rod and Todd can only get the chicken pox once, and childhood's the safest time!"
LEI,"Greetings from Nedily Space Center on Cape Flandaveral. We noticed your sky-ro-technics and thought we'd join in. Ooh, looks like a perfect landing!"
FAM,"I'm not Ned, I'm a friendly dog. Oh, I'm not a good liar. I did come here to check on the... where's Rod?"
REL,I move we reconsider our club name. Make it something a little less blasphemous. After all we don't want to go to Hell.
PER,"Well, I just can't relate to the women of today, Homer. Ah, it's probably me. I'm about as exciting as a baked potato."
ECO,"Oh, you'd win that bet. Seems like I'm spending all my money on religious pay-per-view. Or as I like to call it, ""pray-per-view."""
PER,"Hey Marge, I don't I don't really want a computer. You know all those complete strangers Googling each other. Makes my flesh crawl."
PER,"Well, some say being thoughtful is old-fashioned. If so, then I guess I'm just a cave man. If they existed, which they didn't!"
CON,"No, Homer, no! I wanna do something exciting, but I can't just go from zero to thirty like that! I-I could be killed."
PER,"Oh, I admit it! It's only two-alarm -- two-and-a-half tops! I just wanted to be a big man in front of the kids."
ECO,"Well sir, I'm opening a one-stop store for Southpaws. Everything from left-handed apple peelers to left-handed zithers. I'm gonna call it the Leftorium."
COM,"Isn't this great, Marge? We're like Jiminy Cricket for the whole ding-dang town. A half-man, half-bug that knows what's best for everybody. Um-hm."
LEI,I've got two teens in a public park goin' at it like a couple of gibbons in the back seat of Noah's Ark!
REL,"Okay, mister, you've got yourself a deal. I'll shave off the soup strainer, if you give the sailor talk the old heave-ho, okay?"
REL,"Well sir, just apply a smidgen of peanut butter to an ordinary pine cone and you got yourself a makeshift bird feeder, sir."
ECO,"All right, how's this for a wager? A batch of your wife's delicious blueberry muffins against one of my wife's homemade wind chimes!"
REL,"You know, I don't believe we've ever been formally introduced. Anyhoo, so I don't commit the deadliest of sins... omission... here's my card."
FAM,"I might go mad with fear out there, so Todd, I want you to shoot Daddy if he tries to get back in."
REL,"Well, looks like it's time for another ""'End of the Walk' Talk With Homer and Ned."" Tonight's topic: ""The Niceness of the Evening."""
PER,I'd like to turn in this boy for thinkin' about doin' something naughty... and myself for waiting thirty seconds before bringing him here.
REL,Jes... ? Jes... ? Don't you kids know anything? The serpent of Rehaboam? The well of Zohassadar? The bridal feast of Beth Chadruharazzeb?
REL,"...Y'know, I wouldn't mind Homer lying naked in his hammock, but does he have to string it up higher than the fence line?"
FAM,Do I hear the sound of butting in? It's gotta be little Lisa Simpson -- Springfield's answer to a question no one asked!
FAM,This could go late -- we haven't even ordered pizzas and pop yet. Can you handle Rod and Todd's parent-teacher conference for me?
PER,"Sara, I'm sorry, but I can't move to Hollywood. Heck, even Dollywood's too far out for me. Too many people appreciating it ironically."
REL,"L-Listen, folks, there's no magic formula. I just follow the three C's: clean living, chewing thoroughly, and a daily dose of Vitamin Church."
LEI,"Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor."
REL,"Well, when the sun goes down it means God's gone to China to watch over those good folks. Time for some shuteye."
FAM,"How 'bout I explain it to you over a cup of coffee. That is, if you're willing to give me another shot."
LEI,"Marge, you know I thought I was Springfield's wing ding king, but uh, you make my chicken look like cock-a-diddily doo doo."
LEI,"You know I was gonna enter this here Ovenfresh Bakeoff... but up against you, I wouldn't have a Hindu's chance in Heaven."
FAM,"Hey, Homer, I need to ask ya a favor. My baby sitter canceled and I got tickets to a Christian rock concert."
COM,"Well, a friendly Springfield hello there, neighbors. I, you know, we think some kids of ours may be missing in your town."
REL,"Oh, I will! Till I go to bed and take 'em off under the covers! But come outside and see the miracle!"
FAM,"oh, they're grounded. I found out Rod watched a commercial for ""Grey's Anatomy,"" and Todd took a full day to tell me."
FAM,"IF YOU THINK I'M CUDDLY / AND YOU WANT MY COMPANY / COME ON WIFEY LET ME KNOW... UGH, UGH, UGH... OOOH..."
FAM,"Aw, gee, the man's just trying to show his wife he cares for her. How can we sabotage his labor of love?"
FAM,"Oh Warren, I know your Dad is in prison, but don't you fret. A special Celebrity Dad has been arranged for ya."
REL,"Okay, I've got two of every animal. But only males -- I don't want any hanky-panky. Hey, hey, hey, cut that out!"
FAM,"Well, my Roddy told a joke about an octopus and a set of bagpipes -- and the punchline implied that they fornicated!"
FAM,"All right, and if Todd wins, you have to mow my lawn! And do a decent job of it, for a change!"
FAM,"Y'know, Simpson, I feel kinda silly, but what the hay... you know, it kinda reminds me of my good ole' fraternity days."
COM,I wish we lived in a place more like the America of yesteryear that only exists in the brains of us Republicans.
FAM,"Until this, I never thought Homer and Marge were bad parents. But now I know you kids need a less hellbound family."
CON,"Now boys, we're gonna film the world's first and some would say best murder mystery -- the story of Cain and Abel!"
WRK,"Hey, Homer! This little thing-a-ma-jig really works great. Now that I've saved the earth, maybe I oughtta spruce up the ol' homestead."
REL,Excuse me. How can you put up an exhibit on the origin of man and not have one mention of the Bible?
PER,"Friends, what Homer did was wrong. But I've been thinking -- maybe I was just as wrong to give you those gifts."
COM,"Hop to it, honey! If we get to the Pops concert early, we can give up our seats to some old people."
REL,"Uh, excuse me, fellas... I... I couldn't help thinking it might be nice if you could uh, vamoose, you know. If possible."
FAM,"Here are the numbers for the police, fire, ambulance, poison control, burn clinic, and people nearby with Rod and Todd's blood type."
REL,"And after I created my fingers to the bone for you I... My unicorn! Oh, what have they done to you, Gary?"
ECO,"They're outlaws?! I've been played like a pair of spoons! Well, who am I to judge -- it's the Depression, money's tight..."
LEI,"Oh, I-I guess you'd rather see a film about a liberal European wizard school, or the latest sexcapade of Miss Ashley Judd!"
REL,No one was ever a monkey! Everything is what it was and always will be! God put us here and that's that!
